text,class
পরিমনি হলো চামড়ার দোকান ,1
এই আপনি কি সত্যি পরিমনি নাকি হিজলা কোনটা?,1
তোমার প্রেমে অন্ধ আমি তোমার ভালোবাসায়,0
আল্লাহ্ লম্বা চুল দিয়েছিলো বলেই লজ্জা স্থানটুকু ঝাঁকতে পেরেছে,1
এমন পিক দেখলে ছেলেরা  তোমায় ধর্ষণ করার চেষ্টা করবে এটাও স্বাভাবিক।,1
অনেক মেম্বার আপনার,0
দেহ ব্যবসায়ী  পরিমনি ,1
দারুন তুমি পরি মনি,0
আপনার নিচের অবস্থা ত বেহাল দশা ।। ইলিয়াস ভাই কৈইছে,1
"ওহে সুন্দর,বন্ধু হতে মন লাগে রুপ লাগে না।",0
তুমি এত সুন্দর কেন?,1
পারলে ন্যাংটা হয়ে থাক,1
তুই একটা ভেসা মাগি,1
"ইয়া আল্লাহ,যাদের অন্তরে দুঃখ কষ্টের পাথর জমে আছে,
তাদের অন্তরকে ধৈর্য দিয়ে প্রশান্তি করে দাও",0
"বন্ড সিরিজ এর মুভি মানেই অন্য এক আবেদন, সব কটিই দেখেছি, এই সিরিজটা দেখার জন্য প্রায় দের বছর অপেক্ষা করছি, একশন, এডভেঞ্চার, সাসপেন্স, রোমান্স কি নেই! সব চেয়ে আসল কথা হচ্ছে, এই ফ্লিমের প্রতিটি চরিত্র এত সুন্দর ভাবে ফুটিয়ে তোলা হয়, যা সত্যিই চমৎকার।",0
অপেক্ষায় আছি ,0
এই পেইজে বিখ্যাত কবি-সাহিত্যিকের পঙক্তি নিয়মিত পোস্ট করা হয়,0
তিনি কি আফগানিস্তানের সাথে বাংলাদেশের বন্ধুত্ব করাবেন?,0
তোরে খুব ভালো মনে করতাম তুই আবার নমোকে নিয়ে লাইভে আসছিস নির্লজ্জ কোথাকার দুনিয়া থেকে একবার মরে দেখ তোরে কবরে গেলে সৃজিতকে দেবে তোর সাথে করে ফাজিল একটা,1
"প্রথম আলো কি সব বাজে মহিলাকে নিয়ে প্রচারণা করেছেন,,,,, রাস্তার মহিলার সম্মান আছে কিন্তু এই মহিলার নাই",1
"চেহারায়তো মোটামুটি একটা গাজাখোরী চাপ পড়ছে, বোঝা যাচ্ছে বুইড়ার সাথে তেমন সুখে নেই, চেহারায় বিষন্নতা",1
প্রিয় সাংবাদিক ভাই আপনাদের কি অন্য কোনও কাজ নেই? বাল ছাল দিয়ে টাইমলাইনে বিরক্তি লাগে,1
জয় পদ্মা সেতু,0
বিসিবির পক্ষ থেকে শোক প্রকাশ করছি,0
এইগুলি তুচ্ছ ঘটনা না।,0
"সেই ২০২০ সালের মার্চ থেকে বাসায় বন্দি হয়ে আছি,কোথাও যাওয়া হয়না",0
স্কুল কলেজ নিয়ে যেন কাহারো কোনো মাথা বেথা নেই,0
"হে আল্লাহ! বাচ্চারা তো ফুলের মত, তাদের দিয়ে তুমি আমাদের পরীক্ষা নিও না। তুমি তাদের রক্ষা কর।",0
হে আল্লাহ এই বাচ্চাগুলোকে সুস্থতা হায়াত দান করুন। দোয়া করি তারা যেনো তাদের সুস্থ জীবনে ফিরে আসে।,0
"গ্রামীণফোন, রবি, এয়ারটেল এবং বাংলালিংক এ আকর্ষণীয় সব অফার সবচেয়ে কম মূল্যে পেতে আমাদের গ্রুপের সাথেই থাকুন,",0
সেক্সী পিক খুব ভাল লাগছে,1
আপু তোমার কি কাপড়ের অভাব।,1
মাগি আর কত নষ্টামি করবে,1
তুমি একটাা নোংরা মেয়ে,1
মালটা তিন বার রিমান্ডের পর ও কিভাবে এত টসটসে এখন সেটার তদন্ত করা হোক।,1
আচ্ছা সাংবাদিক গুলো মনে হয় মেয়াদ উত্তীর্ণ গাজা খায়ছে সালা দেশের বারটা বাজতাছে আর এগুলা ডানা কাটা পরিরে নিয়ে মরে।,1
কি মামনি ডিম থেরাপি চলছে নাকি ?,1
এইসব নেশা গ্রস্থ প্রষ্টিটিউট দুই চারটা পাগল হয়ে গেলেই কি আর মরলেই কি আসে যায়। ,1
হায়েরে বাংলাদেশ সাংবাদিক এক লুইচ্চা মহিলারা সংবাদ নিয়ে ছুটা ছূটি কর,1
"পরিমনি,জেলখানায় বসে মাল খাইতে পারে না তাই একটু অসুস্ত হয়ে পরতেছে,তার উকিলের উচিত তাকে একটু মালের ব্যবস্থা করে দেওয়া",1
তামিম ইকবালের সঙ্গে দেওয়া সাক্ষাৎকারের পর থেকে কোহলির প্রতি খারাপ মনোভাব দূর হয়ে গেছে।,0
আলহামদুলিল্লাহ।।স্বপ্নের পদ্মা সেতু,0
বিসিবির পক্ষ থেকে শুভেচ্ছা ও অভিনন্দন!,0
কি যে ভালো লাগছে বলে বুঝাতে পারবো না। আলহামদুলিল্লাহ,0
পরিমনি বাল ছবি,1
ওর নাম পরিমনি না ওর নাম সোনা মনি ও খানকি ও সোনা ও হেডা ওর সোনার বিতরে মাছি,1
কুত্তা লুচ্চা।তুই কত খারাপ। মুসলিম পরিবারের মেয়ে হয়ে এত খারাপ খারাপ ছবি আপ্লোড দেছ।তোগো কারণেই যুব সমাজ নষ্ট হয়ে যাচ্ছে,1
তুমি একটা বেয়াদপ মেয়ে ,1
আল্লাহ পাকের রহমত থেকে যারা বঞ্চিত দেখুন তাদের অবস্থা। আল্লাহ মুসলমানদের হেফাজত করুন। আমিন,0
মানুষ মানুষের জন্য। অবশ্যই সহায়তা করা উচিত।,0
রোহিঙ্গা ইস্যুতে জাতিসংঘ চুপ কেনো??,0
মানবিক সাহায্য করার জন্য রোহিঙ্গাদের পাঠানোর জোর দাবি জানাচ্ছি।,0
"প্রিয় সাংবাদিক বোন কাজ না থাকলে বাল ছিড়েন তাতে নিজের আাগাছা পরিস্কার হবে।
",1
"কিছু না করার থাকলে পুটকির ভিতর
আঙুল দিয়ে বসে থাকেন,তাতে বাথরুম ক্লিয়ার হবে।",1
"কদম কোন কিছু করার মত না পেলে বাসে ফেরি করে কনডম বিক্রি করুন,আপনার মত ফাউল সাংবাদিকের জন্ম রোধ হবে!",1
মিথিলার মত যত চামড়া ব্যবসায়ি আছে এদের দেখলে মনটা চায় ওদের মুখে পায়খানা করি!,1
আফগানিস্তানে কে ক্ষমতায় আসলো গেলো সেসব চিন্তা না করে আমাদের দেশ নিয়ে চিন্তা করা উচিৎ,0
নারীদের নিরাপত্তা নিয়ে সবাই চিন্তিত,0
"কোহলির এই এটিটিউড ভালো লাগে, সে নিজের সেঞ্চুরি তেও সে এত সেলিব্রিট করে না এটা সে সবাইকে উৎসাহ দেওয়ার জন্য করে বিপক্ষ কে প্যানিক হওয়ার জন্য।",0
"আসেন আমাদের দেশে, দাওয়াত রইল।",0
আমাদের ভোটচোর হাসিনার সাথে সাক্ষাৎ নাই?,1
উনাকে সবসময় ফার্স্ট লেডি মনে হয়,0
মিথিলার চেহারাটা হয়েছে একটা ইয়াবা খোর এর মতন।,1
এই সাংবাদিক গুলা ইদানিং চামড়ার পিছে ছুটছে কেনো?,1
"প্রথম আলো এই বালেরেই কিজন্য যে আনে,বালের বেকার সাংবাদিক",1
"তোমাকে বোকা কীভাবে বানায়, কারণ তুমি তো অলরেডি একটা গাধা।",1
স্বাগতম দক্ষিণ এশিয়ায় আপনি আসবেন এবং দক্ষিণ এশিয়ার উন্নয়ন দেখে যাবেন আশাবাদী,0
তাতে আমার বাল ছেড়া গেল,1
চীনের ভ্যাকসিন সফল।,0
আমাদের সিলেটের গর্ব,0
"এভাবে বলবেন না, বলার মত অবস্থা এখনও হয় নি।",0
"চালিয়ে যান, এক্ষেত্রে সমর্থন আছে।",0
মনের কথায় বলছেন মাননীয় মন্ত্রীমহোদয়।,0
এইবারে লকডাউন অনেকটা সারাজীবন বারোভাতারিগিরি করে বিয়ে দিন বেলুন ব্যবহার করা মতো!,1
দালালি করা ছাড়েন,1
"তোমারে তো অনেক আগে বোকা বানাইছে তোমারে বিয়া করে
আর আমি বুঝি না প্রথম আলো কি খালি মিথিলা কে নিয়ে আছে মিথিলা কে এমন ভাই আমি বুঝিনা এসব বালের নিউজ না দেখাটা ভালো!",1
এই সাংবাদিকদের মা মিথিলার মতো মাল্টিপ্লাগ ছিল তাই বালছাল নিউজ করে।,1
"ওরে বারোবাতারি, শেষ মুহূর্তে আকাটার কাছে গেলি, ওরে বাটপার",1
তাতে আমার বাল ছেড়া গেল,1
এইটা বালটা ছাড়া আর কোন লোক পাই না,1
প্রথম আলো বার ভাতারি মিথিলা নিয়া কেন পড়ে আছে বুঝিনা,1
তুমি বোকাচোদা তোমারে বানাবে না তো পরিমনিরে বানাবে??,1
জন্মদিনের শুভেচ্ছা,0
"শুভ জন্মদিন কিংবদন্তি,, অভিনয়ের বরপুত্র। ভালোবাসি অনেক",0
"আচ্ছা , কবরের প্রথম রাতটা আমার কেমন কাটবে তা নিয়ে কি কখনো ভেবেছি !?",0
এই নিয়ে আছে কি কোনো পরিকল্পনা ?,0
জরিপে ভূমধ্যসাগর পাড়ি দিয়ে অধিবাসন প্রত্যাশী বাংলাদেশীর হার বেশী।,0
প্রায় ২০ বছর দখল করে সাধারণ জনগণের উপর এরা অন্যায় ও অত্যাচার করেছিল বলেই হয়তো আজ ভয় পাচ্ছে!,0
"মাঝে মধ্যেই এই প্রথম আলো বেইশ‍্যার বিজ্ঞাপন দেয়",1
"মাথায় চোদেনা,
প্রথম আলো আনফলো মারতেছি",1
সবার বারোভাতারী আন্টি চাই তোমার মত।,1
"এই লিংক আপাকে নিয়ে
বালের আলোর এত চুলকানি কেন??",1
বালের অনুষ্ঠান।মিথিলা কি দেয় প্রথম আলোরে।,1
নিয়মিত সুন্দর সুন্দর পোস্ট পেতে আমাদের পেজটি ফলো করে পাশেই থাকুন।,0
"আসসালামু আলাইকুম বন্ধুরা।পুরান ঢাকা নিবাসি গাছ প্রেমি মানুষের জন্য আমাদের এই গ্রুপ। এখানে গাছ বিনিময়, প্রদর্শন, ক্রয়-বিক্রয় এবং গাছ সংক্রান্ত প্রশ্নের উত্তর দেওয়া হবে নিয়মিত। প্লিজ এখনই জয়েন হন। ধন্যবাদ।",0
নিচের পেইজটি পড়ে আপনি অনেক আনন্দ নিয়ে ঘরে বসে সহজেই ইংরেজি শিখতে পারবেন ৷,0
"গোপনের পাপ মানুষকে ধ্বংস করে দেয়, আর গোপনের ইবাদত মানুষকে শ্রেষ্ঠ মর্যাদা দান করেন",0
ভালো হইছে,0
সালা মনে হচ্ছে কুমারী মেয়ে বিয়ে করছে বুইরা সৃজিত এজন্য সে চমকে ওঠে,1
মেলায় হারিয়ে যাওয়া দুই ব্যজন্মা। এক প্রথম আলো আর মিথিলা,1
মিথিলা তারপর বলো কার পারফরম্যান্স ভালো? তাহসান না সৃজিত??,1
"খারাপ মহিলা গুলোকে কেনো যে মিডিয়াতে আনা হয়। ফালতু মহিলা""",1
মিডিয়াগুলো এখন শুধু চামড়ার বাজার জাত করতেছে আর কোন কাজ নাই,1
"আপনি যদি সতর্ক না হোন তবে সংবাদ মাধ্যম আপনাকে শিখাবে ""মজলুম কে ঘৃণা কর, জালিমকে ভালোবাসো""!",0
যার যায় সে বুঝে,0
দৈনন্দিন বহুল ব্যবহারিত কিছু প্রিপোজিশন যা আমাদের সব সময়ই কাজে লাগে ।,0
খুব কষ্টের বিষয়,0
এই পেইজে বিখ্যাত মনীষীদের উক্তি নিয়মিত পোস্ট করা হয়,0
"একজন বাঙালিকে ইউরোপের শীর্ষ লীগে দেখতে পারলে ভালো লাগবে.....
শুভকামনা রইলো...",0
একটা বাজে মেয়ে কে নিয়ে আপনারা রিয়েলিটি শো করেন আপনাদের লজ্জা করে না বেয়াদবের দল।প্রথম আলোকে আগে ভালোই মনে করতাম কিন্তু সর্বকালের নিকৃষ্ট নিউজপোটাল এখন মনে হয় প্রথম আলো।,1
এই সব সেলিব্রেটি বালদের দেখলেই এখন বিরক্ত লাগে এদের উপর দিয়ে চিনার উপায় নাই. কিন্তু ভিতরে কত জনের খাট কাপিয়ে আসছে তিনারাই জানেন,1
ও চিন্তায় আছে ওর চামড়ার ব্যাবসায় ধস খাবে এই চিন্তায় ঘুমায় না,1
দাদারা সবসময়ই আমাদের বোকা বানিয়ে আসছেন। এটা নতুন কিছু না। বোকা বানাচ্ছেন ইয়ে মারছেন আরো কতকি,1
"তুই তো বাড়া বা‌রো ভাতারী",1
প্রথম আলোকে আনফলো করলাম। বালচাল যা পারে নিউজ করে।,1
কৃষক মানে প্রকৃতির সাথে সর্বক্ষণ যুদ্ধ করে বেঁচে থাকা।,0
সরকারের পক্ষ থেকে তাদের কে সহায়তা করা হোক,0
"দেখে আসুন ছেলে মেয়ে উভয়ের জন্যই
চায়না পন্যের সমাহার",0
বাল ফালাইন্যা ছেড়ি আর পাইছেনা টকশো মারাইবার।,1
"তোর যোনীতে ক্যান্সার হওয়ার সসম্ভাবনা বেশি, কারণ যাদের পেনিস এর অগ্রভাগের চামড়া কর্তন করা নাই তাদের পেনিসের অগ্রভাগে চামড়ার নিয়ে প্রচুর পরিমানে ময়লা জমা থাকে আর সহবাসের টাইমে স্ত্রী যোনীতে প্রবেশ করে আর সেখান থেকে যোনী ক্যান্সার সসম্ভাবনা সবচেয়ে বেশি",1
এই নষ্টকে নিয়ে শুধু লেখালেখি করোস। তোদের কাছে ভালো কোন মানুষ চোখে পড়ে না।,1
"আমাদের এলাকা,জীবন মানেই যুদ্ধ!",0
আজীবন দেখি এদের দূর অবস্থা সরকার কি কোনদিনও এর সমস্যা বের করতে পারবে না ,0
আহারে জীবন জলে ভাসা পদ্মা যেমন।,0
আল্লাহ তুমি রহমত কর,0
তামিমা তাম্মির মতই আপনি নির্লজ্জের মত খুব সুন্দর করে কথা বলেন।,1
"প্রথম আলো চামড়াজাত পণ্যের সাথে চামড়া ব্যবসায়ী, বারোভাতারীদের ভালো প্রচারনা চালাচ্ছে।",1
মাগী একটা,1
নিয়মিত সুন্দর সুন্দর পোস্ট পেতে আমাদের পেজটি ফলো করে পাশেই থাকুন।,0
"ভালোবাসা অবিরাম শিশির মনির ভাই, সাবেক দায়িত্বশীল",0
"আলহামদুলিল্লাহ, মানবতার কল্যাণে আপনার সকল কার্যক্রম সফল হোক এটাই কাম্য",0
মনির ভাই আপনার লেখা অনেক প্রবন্ধ পড়েছি।,0
আরো ছোট কাপড় পর শালী,1
"এই মাতারি তর জন্য আমার প্রতিদিন সপ্ন দোষ হয়,,
তুই যেই সেকচি কাপড় পরে পোষ্ট করস,, আমি একদিনও গুমাতে পারিনা,,",1
পরিমনি আপনি এটা কি করলেন,0
"আর একটু খুললে মজা পাইতাম",1
বাংলার সানি লিওন বুকিংন খালি আছে,1
কিরে মাগি তকে কে নেংটা করে  কে?,1
আল্লাহ এই মেয়েকে হেদায়েত দান করুন মৃত্যু যে কখন আসে টেরো পাবেনা শুধু থাকবে আফসোস ,0
ফালতু মেয়ে একটা,1
ওর নাম পরিমনি না ওর নাম মাগিমনি,1
তোমাকে খুব সুন্দর লাগছে,0
"আলহামদুলিল্লাহ, মানবতার কল্যাণে আপনার সকল কার্যক্রম সফল হোক এটাই কাম্য",0
জনৈক বাংলাদেশী ভদ্রলোক একজন জাপানিজ মহিলাকে বিয়ে করেছিলো ।,0
ধন্যবাদ শিশির মনির ভাই,0
সবার আগে সঠিক খবর,0
"আপনাকে অনেক ধন্যবাদ , সত্য কথা গুলো বলার জন্য",0
অধ্যক্ষ এ এইচ এম খায়রুল আনম চৌধুরী স্যারের মতন প্রাজ্ঞাভিজ্ঞ নেতাদের কথা মানলে দল ও দেশ দুইই উপকৃত হবে।,0
সাহস করে সত্য কথাটি বলার জন্য ধন্যবাদ। ,0
বেশ সমৃদ্ধ প্রতিবেদন।,0